,lead,title,dimensions,observation,year,url
0,hood,Prospects for Characterizing the Haziest Sub-Neptune Exoplanets with High-resolution Spectroscopy,1,transit,2020,https://ui.adsabs.harvard.edu/abs/2020AJ....160..198H/abstract
0,beltz,Magnetic Drag and 3-D Effects in Theoretical High-Resolution Emission Spectra of Ultrahot Jupiters: the Case of WASP-76b,3,emission,2022,https://ui.adsabs.harvard.edu/abs/2022arXiv220412996B/abstract
0,beltz,A Significant Increase in Detection of High-resolution Emission Spectra Using a Three-dimensional Atmospheric Model of a Hot Jupiter,3,emission,2021,https://ui.adsabs.harvard.edu/abs/2021AJ....161....1B/abstract
0,quanz,https://ui.adsabs.harvard.edu/abs/2015IJAsB..14..279Q/abstract,1,direct imaging,2015,https://ui.adsabs.harvard.edu/abs/2015IJAsB..14..279Q/abstract
0,snellen,Combining high-dispersion spectroscopy with high contrast imaging: Probing rocky planets around our nearest neighbors,1,"transit, direct imaging",2015,https://ui.adsabs.harvard.edu/abs/2015A%26A...576A..59S/abstract
0,aronson,Using near-infrared spectroscopy for characterization of transiting exoplanets,1,transit,2015,https://ui.adsabs.harvard.edu/abs/2015A%26A...578A.133A/abstract
0,santos,Spectroscopic direct detection of reflected light from extrasolar planets,1,reflected light,2015,https://www.aanda.org/articles/aa/pdf/2015/11/aa26673-15.pdf
0,martins,Spectroscopic direct detection of reflected light from extrasolar planets,1,reflected light,2013,https://ui.adsabs.harvard.edu/abs/2013MNRAS.436.1215M/abstract
0,E Lee,The Mantis Network II: Examining the 3D high-resolution observable properties of the UHJs WASP-121b and WASP-189b through GCM modelling,3,transit,2022,https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.2141L/abstract
0,showman,Doppler Signatures of the Atmospheric Circulation on Hot Jupiters,3,transit,2013,https://ui.adsabs.harvard.edu/abs/2013ApJ...762...24S/abstract
0,leung,High-resolution Spectral Discriminants of Ocean Loss for M-dwarf Terrestrial Exoplanets,1,transit,2020,https://ui.adsabs.harvard.edu/abs/2020AJ....160...11L/abstract
0,lampon,Modelling the He I triplet absorption at 10 830 Å in the atmosphere of HD 209458 b,1,transit,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...636A..13L/abstract
0,garcia_munoz,On Mapping Exoplanet Atmospheres with High-dispersion Spectro-polarimetry: Some Model Predictions,1,reflected light,2018,https://ui.adsabs.harvard.edu/abs/2018ApJ...854..108G/abstract
0,ben_ami,High-resolution Spectroscopy Using Fabry-Perot Interferometer Arrays: An Application to Searches for O2 in Exoplanetary Atmospheres,1,transit,2018,https://ui.adsabs.harvard.edu/abs/2018ApJ...861...79B/abstract
0,genest,On the Effect of Stellar Activity on Low-resolution Transit Spectroscopy and the use of High Resolution as Mitigation,1,transit,2022,https://ui.adsabs.harvard.edu/abs/2022AJ....163..231G/abstract
0,j zhang,Constraining Hot Jupiter Atmospheric Structure and Dynamics through Doppler-shifted Emission Spectra,3,transit,2017,https://ui.adsabs.harvard.edu/abs/2017ApJ...851...84Z/abstract
0,fossati,A data-driven approach to constraining the atmospheric temperature structure of the ultra-hot Jupiter KELT-9b,1,transit,2018,https://www.aanda.org/articles/aa/pdf/2020/11/aa39061-20.pdf
0,lopez_morales,Seeing above the clouds with high-resolution spectroscopy,1,transit,2019,https://ui.adsabs.harvard.edu/abs/2019BAAS...51c.162L/abstract
0,gandhi,Seeing above the clouds with high-resolution spectroscopy,1,transit,2020,https://ui.adsabs.harvard.edu/abs/2020MNRAS.498..194G/abstract
0,wardenier,Decomposing the iron cross-correlation signal of the ultra-hot Jupiter WASP-76b in transmission using 3D Monte Carlo radiative transfer,3,transit,2022,https://ui.adsabs.harvard.edu/abs/2021MNRAS.506.1258W/abstract
0,hawker,High-resolution spectroscopy and high contrast imaging with the ELT: looking for O2 in Proxima b ,1,emission,2019,https://academic.oup.com/mnras/article/484/4/4855/5306461
0,rodler,FEASIBILITY STUDIES FOR THE DETECTION OF O2 IN AN EARTH-LIKE EXOPLANET,1,transit,2014,https://iopscience.iop.org/article/10.1088/0004-637X/781/1/54/meta
0,young,Non-local thermodynamic equilibrium transmission spectrum modelling of HD 209458b,1,transit,2020,https://www.aanda.org/articles/aa/pdf/2020/09/aa37672-20.pdf
0,morello,The strange case of Na I in the atmosphere of HD 209458 b. Reconciling low- and high-resolution spectroscopic observations,1,transit,2022,https://ui.adsabs.harvard.edu/abs/2022A%26A...657A..97M/abstract
0,udry,Exoplanet Science with the European Extremely Large Telescope. The Case for Visible and Near-IR Spectroscopy at High Resolution,1,emission,2014,https://arxiv.org/abs/1412.1048
0,fujii,Detecting Atmospheric Molecules of Nontransiting Temperate Terrestrial Exoplanets Using High-resolution Spectroscopy in the Mid-infrared Domain,1,emission,2021,https://iopscience.iop.org/article/10.3847/1538-3881/abe129/meta
0,shulyak,Remote sensing of exoplanetary atmospheres with ground-based high-resolution near-infrared spectroscopy,1,emission,2019,https://www.aanda.org/articles/aa/abs/2019/09/aa35691-19/aa35691-19.html
0,Finnerty,Contrast and Temperature Dependence of Multi-epoch High-resolution Cross-correlation Exoplanet Spectroscopy,1,transit,2021,https://iopscience.iop.org/article/10.3847/1538-3881/abd6ec/meta
0,Fisher,Interpreting High-resolution Spectroscopy of Exoplanets using Cross-correlations and Supervised Machine Learning,1,transit,2020,https://iopscience.iop.org/article/10.3847/1538-3881/ab7a92/meta#ajab7a92s3
0,otten,Direct characterization of young giant exoplanets at high spectral resolution by coupling SPHERE and CRIRES+,1,direct imaging,2021,https://ui.adsabs.harvard.edu/abs/2021A%26A...646A.150O/abstract
0,harada,Signatures of Clouds in Hot Jupiter Atmospheres: Modeled High-resolution Emission Spectra from 3D General Circulation Models,3,emission,2021,https://ui.adsabs.harvard.edu/abs/2021ApJ...909...85H/abstract
0,martins,Reflected Light from Giant Planets in Habitable Zones: Tapping into the Power of the Cross-Correlation Function,1,reflected light,2016,https://ui.adsabs.harvard.edu/abs/2016OLEB...46..487M/abstract
0,malsky,Modeling the High-resolution Emission Spectra of Clear and Cloudy Nontransiting Hot Jupiters,3,emission,2022,https://ui.adsabs.harvard.edu/abs/2021ApJ...923...62M/abstract
0,dash,Linking atmospheric chemistry of the hot Jupiter HD 209458b to its formation location through infrared transmission and emission spectra,1,"emission, transit",2022,https://arxiv.org/pdf/2204.04103.pdf
0,de Regt,A quantitative assessment of the VO line list: Inaccuracies hamper high-resolution VO detections in exoplanet atmospheres,1,emission,2022,https://www.aanda.org/articles/aa/abs/2022/05/aa42683-21/aa42683-21.html
0,serindag,Testing the Detectability of Extraterrestrial O2 with the Extremely Large Telescopes Using Real Data with Real Noise,1,transit,2019,https://iopscience.iop.org/article/10.3847/2041-8213/aafa1f/meta
0,molliere,Detecting isotopologues in exoplanet atmospheres using ground-based high-dispersion spectroscopy,1,"emission, reflection",2014,https://www.aanda.org/articles/aa/abs/2019/02/aa34169-18/aa34169-18.html
0,de Kok,Identifying new opportunities for exoplanet characterisation at high spectral resolution,1,"transit, emission",2014,https://www.aanda.org/articles/aa/abs/2014/01/aa22947-13/aa22947-13.html
0,miller-ricci kempton,Constraining High-speed Winds in Exoplanet Atmospheres through Observations of Anomalous Doppler Shifts during Transit,3,transit,2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...751..117M/abstract
0,cauley,The Effects of Stellar Activity on Optical High-resolution Exoplanet Transmission Spectra,1,transit,2018,https://iopscience.iop.org/article/10.3847/1538-3881/aaddf9/meta
0,kozakis,High-resolution Spectra of Earth-like Planets Orbiting Red Giant Host Stars,1,"reflection, emission",2020,https://www.aanda.org/articles/aa/abs/2009/20/aa10656-08/aa10656-08.html
0,dreizler,On the possibility of detecting extrasolar planets' atmospheres with the Rossiter-McLaughlin effect,1,transit,2008,https://www.aanda.org/articles/aa/abs/2009/20/aa10656-08/aa10656-08.html
0,damiano,A Principal Component Analysis-based method to analyse high-resolution spectroscopic data,1,transit,2019,https://arxiv.org/abs/1906.11218
0,rauscher,The Atmospheric Circulation and Observable Properties of Non-synchronously Rotating Hot Jupiters,3,transit,2014,https://ui.adsabs.harvard.edu/abs/2014ApJ...790...79R/abstract
0,savel,No Umbrella Needed: Confronting the Hypothesis of Iron Rain on WASP-76b with Post-processed General Circulation Models,3,transit,2022,https://ui.adsabs.harvard.edu/abs/2022ApJ...926...85S/abstract
0,strachan,Diagnosing aerosols in extrasolar giant planets with cross-correlation function of water bands,1,reflected light,2020,https://academic.oup.com/mnras/article-abstract/493/2/1596/5729057
0,kempton,High Resolution Transmission Spectroscopy as a Diagnostic for Jovian Exoplanet Atmospheres: Constraints from Theoretical Models,3,transit,2014,https://ui.adsabs.harvard.edu/abs/2014ApJ...795...24K/abstract
0,Y zhang,Search for He I airglow emission from the hot Jupiter τ Boo b,1,emission,2020,https://ui.adsabs.harvard.edu/abs/2020A%26A...641A.161Z/abstract
0,Quanz,Direct detection of exoplanets in the 3–10 μm range with E-ELT/METIS,1,transit,2014,https://www.cambridge.org/core/journals/international-journal-of-astrobiology/article/direct-detection-of-exoplanets-in-the-310-m-range-with-eeltmetis/FF4F11F8023EFB19D14A5F78F5808132
0,Kaltenegger,Finding Signs of Life on Transiting Earthlike Planets: High-resolution Transmission Spectra of Earth through Time around FGKM Host Stars,1,transit,2020,https://iopscience.iop.org/article/10.3847/1538-4357/abb9b2/meta
0,snellen,FINDING EXTRATERRESTRIAL LIFE USING GROUND-BASED HIGH-DISPERSION SPECTROSCOPY,1,transit,2013,https://iopscience.iop.org/article/10.1088/0004-637X/764/2/182/meta
0,Kaltenegger,Finding Signs of Life in Transits: High-resolution Transmission Spectra of Earth-line Planets around FGKM Host Stars,1,transit,2021,https://iopscience.iop.org/article/10.3847/2041-8213/abe634/meta
0,Kaltenegger,Diagnosing aerosols in extrasolar giant planets with cross-correlation function of water bands,1,transit,2020,https://iopscience.iop.org/article/10.3847/2041-8213/ab789f/meta
0,Pino,Diagnosing aerosols in extrasolar giant planets with cross-correlation function of water bands,1,transit,2018,https://www.aanda.org/articles/aa/pdf/2018/11/aa32986-18.pdf
